Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Loan Amount Request (USD),Dependents,Property ID,Location,Property Price,Loan Sanction Amount (USD)
C-15532,Claris Vaughn,F,36,1507.61,Low,Working,62215.64,0,620,Rural,109616.63,0
C-27329,Mariana Devaney,F,47,2320.08,Low,Working,65949.16,2,43,Semi-Urban,111720.15,0
C-495,Melania Mcentire,M,32,3819.13,Low,Working,42961.55,4,565,Semi-Urban,60826.41,0
C-12078,Necole Brisco,M,18,1569.68,Low,Commercial associate,47527.22,3,69,Semi-Urban,75594.7,0
C-21792,Kerri Berman,F,35,4186.42,Low,Working,184933.42,1,76,Semi-Urban,328505.74,0
C-23671,Nikki Crowther,F,25,1843.79,Low,Working,85316.59,1,206,Rural,95828.89,0
C-21882,Masako Swanson,M,58,1820.18,Low,Working,38717.24,1,434,Semi-Urban,61885.75,0
C-1532,Flora Tadlock,M,18,3994.74,Low,Commercial associate,223643.2,2,818,Urban,328462.92,0
C-16176,Tandra Eide,M,32,3112,Low,Working,130265.85,3,479,Semi-Urban,223301.93,0
C-21528,Kera Schreiber,M,26,1844.86,Low,Commercial associate,38464.33,0,410,Semi-Urban,44955.99,0
C-15656,Kraig Cappiello,M,29,3375.53,Low,Commercial associate,128957.79,2,495,Urban,156718.89,0
C-25488,Evelyne Chattin,F,39,1692.34,Low,Working,25749.27,0,703,Semi-Urban,42032.96,0
C-19307,Nolan Wicker,M,42,2834.75,Low,Working,71548.24,2,248,Semi-Urban,95758.1,0
C-5610,Marvella Adkins,M,26,2131.37,Low,Working,38328.98,2,372,Semi-Urban,51420.1,0
C-13731,Tyesha Bettcher,F,30,800.36,Low,Working,63259.97,2,924,Semi-Urban,77522.8,0
C-13444,Meghan Cousin,M,60,2140.73,Low,Commercial associate,51437.41,2,798,Semi-Urban,87143.45,0
C-866,Nakita Freeborn,M,57,2094.69,Low,Working,184528.14,2,700,Semi-Urban,340990.65,0
C-5727,Walter Marro,F,60,1390.53,Low,Working,52589.49,1,179,Semi-Urban,67685.29,0
C-7012,Margurite Zeiler,M,20,2209.11,Low,Working,46385.05,2,27,Semi-Urban,75387.44,0
C-699,Serafina Mcbay,F,26,3374.65,Low,Working,163638.68,2,170,Semi-Urban,234609.48,0
C-20198,Michelina Mcpeters,M,42,958.34,Low,Working,26438.25,1,472,Rural,46297.84,0
C-22473,Jeremiah Flick,F,39,3161.9,Low,Commercial associate,79279.16,2,202,Semi-Urban,150264.33,0
C-24028,Cyrus Hafer,M,18,1999.37,Low,Working,46990.94,1,393,Semi-Urban,62534.35,0
C-18317,Jeanice Davey,M,33,2934.23,Low,Working,128447.6,2,112,Urban,152393.71,0
C-20695,Xenia Gregoire,F,39,3041.68,Low,Working,194073.76,2,617,Semi-Urban,303055.46,0
C-19886,Valentina Watrous,M,62,1582.77,Low,Working,80638.52,0,156,Semi-Urban,125710.09,0
C-29050,Gerri Mcpeak,M,24,3181.1,Low,Working,73528.7,2,85,Semi-Urban,134066.27,0
C-16389,Luetta Pasco,M,42,1587.8,Low,Working,38739.98,1,325,Semi-Urban,54830.87,0
C-29925,Brenton Almeida,M,64,2335.52,Low,Working,92486.71,2,104,Semi-Urban,139142.9,0
C-10416,Carmon Magers,F,18,2727.79,Low,State servant,13854.93,3,780,Semi-Urban,17381.25,0
C-26420,Augustus Corum,M,18,7507.31,Low,State servant,264915.25,2,12,Rural,325576.5,0
C-24022,Yukiko Leisy,F,65,1304.02,High,Pensioner,78034.19,0,921,Rural,124979.17,0
C-5643,Araceli Chadburn,M,61,2406.71,Low,State servant,102007.35,2,694,Semi-Urban,152065.03,0
C-24608,Shelby Gagnier,M,34,2487.59,Low,Working,38758.74,1,31,Semi-Urban,60759.94,0
C-9009,Jeannette Saur,F,62,1414.36,High,Pensioner,105806.28,2,553,Semi-Urban,147475.85,0
C-29380,Noe Wehmeyer,M,36,1269.02,Low,State servant,21721.06,1,159,Semi-Urban,41133.9,0
C-21698,Dean Plascencia,F,56,2527.04,Low,State servant,102857.49,3,440,Semi-Urban,162163.5,0
C-17278,Luisa Loredo,F,35,1552.39,Low,Working,136152.73,2,179,Semi-Urban,244946.9,0
C-4638,Jena Armistead,M,49,3331.44,Low,Commercial associate,39988.05,0,186,Semi-Urban,47207.92,0
C-1150,Alma Caines,F,24,644.5,Low,Working,18147.42,2,637,Semi-Urban,32201.53,0
C-14735,Shanae Palazzo,F,36,708.47,Low,Working,76231.66,2,7,Rural,129238.99,0
C-12908,Lizette Constantino,F,55,2497.93,Low,Working,60356.4,4,635,Semi-Urban,89388.75,0
C-7169,Tandra Gilkison,F,18,2002.45,Low,Commercial associate,44115.54,3,952,Semi-Urban,77234.18,0
C-9281,Solomon Ericksen,M,51,4203.94,Low,Commercial associate,237573.15,2,186,Semi-Urban,367906.58,0
C-4938,Billye Shoaf,F,18,2762.5,Low,Working,32616.54,0,456,Semi-Urban,60434.8,0
C-3544,Guy Roger,M,30,1449.28,Low,Working,30287.97,2,66,Semi-Urban,42966.27,0
C-10776,Laree Heyen,F,27,2720.25,Low,Commercial associate,25313.97,2,541,Semi-Urban,42261.25,0
C-19897,Francis Leisy,F,18,977.58,Low,State servant,45014.18,3,623,Semi-Urban,71238.41,0
C-15425,Grady Musselwhite,F,18,2833.38,Low,Working,103317.49,2,887,Semi-Urban,159322.47,0
C-6521,Nova Jorgenson,F,57,2990.92,Low,Commercial associate,161782.87,1,229,Semi-Urban,261753.83,0
C-21152,Merlyn Patt,F,18,1019.86,Low,Working,27659.65,2,134,Semi-Urban,50514.11,0
C-15920,Barbie Jacobson,M,18,1400.58,Low,Working,13309.07,1,889,Rural,18784.68,0
C-14895,Flora Torgeson,M,24,1797.53,Low,Commercial associate,32249.91,4,363,Rural,41146.07,0
C-20004,Levi Grantham,F,26,3974.47,Low,Working,131836.83,2,180,Semi-Urban,203933.93,0
C-25479,Mara Abbott,M,61,3740.93,High,Pensioner,31978.93,1,971,Urban,59970.57,0
C-15028,Sol Medders,M,18,1845.13,Low,Working,22966.29,3,90,Semi-Urban,42250.84,0
C-1562,Mariana Hauff,M,18,3154.73,Low,Commercial associate,77167.82,3,23,Semi-Urban,109594.96,0
C-6515,Angelyn Cree,M,26,2099.37,Low,State servant,74586.17,4,667,Semi-Urban,116454.25,0
C-3038,Augustus Tann,F,64,960.56,Low,Working,40087.18,3,4,Semi-Urban,55782.21,0
C-15705,Shona Fludd,M,57,1038.5,Low,Working,10146.33,3,726,Semi-Urban,15568.08,0
C-8483,Pauletta Boatman,F,32,1752.44,Low,Commercial associate,53230.53,2,419,Semi-Urban,77489.23,0
C-6115,Lore Titcomb,M,59,2500.67,Low,Commercial associate,111670.14,2,98,Semi-Urban,149811.31,0
C-18056,Gina Raglin,F,62,1250.27,High,Pensioner,118721.25,1,722,Rural,144186.54,0
C-1936,Sherwood Johnsrud,M,18,2655.82,Low,Commercial associate,90336.14,1,786,Semi-Urban,144702.71,0
C-16191,Brinda Foulds,F,39,2353.68,Low,Working,19708.22,2,504,Semi-Urban,29634.45,0
C-13627,Lorriane Crowther,M,18,2968.98,Low,Working,58808.75,1,264,Rural,78034.8,0
C-15063,Azucena Lampman,F,26,3119.58,Low,Commercial associate,26783.96,1,636,Semi-Urban,31738.99,0
C-11833,Rolf Reagle,F,34,1110.64,Low,State servant,46274.95,0,721,Rural,59653.94,0
C-16423,Glenda Defilippo,F,33,3964.41,Low,Working,208442.86,1,317,Rural,349844.92,0
C-9028,Lorette Degraffenreid,M,55,2525.21,Low,Working,155551.09,2,337,Rural,273774.98,0
C-14802,Lacey Mchargue,M,65,3033.43,High,Pensioner,117628.57,0,294,Rural,212795.3,0
C-3292,Narcisa Verde,F,60,1274.17,Low,Working,60542.47,0,426,Semi-Urban,105505.45,0
C-1275,Bethany Burch,M,33,3028.43,Low,Working,9244.84,2,853,Semi-Urban,12334.35,0
C-2319,Lucas Emmons,F,64,1236.75,Low,Working,16889.35,0,233,Semi-Urban,31999.14,0
C-9397,Yolonda Chynoweth,F,22,2953.18,Low,Working,51418.18,2,944,Semi-Urban,93023.97,0
C-27366,Candy Stutts,F,65,1254.71,High,Pensioner,36302.41,2,795,Semi-Urban,55692.45,0
C-3173,Giselle Cree,M,48,7682.61,Low,Working,115359.34,3,943,Urban,195095.3,0
C-28776,Marietta Zerby,M,18,1682.51,Low,Commercial associate,38997.46,2,870,Rural,69908.67,0
C-25087,Bonny Nelligan,F,64,2034.79,Low,Working,64083.9,2,60,Semi-Urban,93092.51,0
C-8379,Marietta Gloria,F,22,787.36,Low,State servant,35133.18,0,493,Semi-Urban,43602.98,0
C-28457,Noe Riter,F,31,2553.71,Low,Working,78393.32,2,514,Semi-Urban,131534.65,0
C-19018,Jacklyn Medeiros,M,34,2976.58,Low,Working,69174.36,0,657,Semi-Urban,119821.98,0
C-1248,Cyrus Ohlinger,M,55,2630.22,Low,Commercial associate,93391.99,2,774,Semi-Urban,146280.04,0
C-23949,Teri Seamon,F,27,1832.43,Low,Working,67874.96,1,551,Semi-Urban,97865.97,0
C-29903,Lynda Fludd,F,60,2020.58,Low,Working,63618.59,3,273,Semi-Urban,74391.59,0
C-7617,Horacio Killam,F,55,3173.04,Low,Working,102486.41,5,614,Rural,138911.47,0
C-27708,Leesa Leisy,F,31,2678.64,Low,Commercial associate,30487.31,3,463,Semi-Urban,34613.91,0
C-21603,Merideth Cann,M,43,1982.94,Low,Working,43766.83,2,802,Semi-Urban,72536.59,0
C-10784,Jeanice Moss,F,65,2180.97,High,Pensioner,62681.22,1,173,Rural,82363.5,0
C-12541,Wes Terhaar,M,44,1439.56,Low,Working,45498.89,2,219,Semi-Urban,59550.71,0
C-9999,Sharita Fredenburg,M,41,4191.33,Low,Working,123040.51,4,953,Urban,145440.25,0
C-29964,Pattie Dyment,F,21,1527.11,Low,Working,61104.06,1,889,Semi-Urban,79733.3,0
C-17785,Flora Mullenax,M,59,1724.51,Low,Working,84920.38,2,841,Semi-Urban,94181.27,0
C-22355,Jamey Engman,M,65,1389.42,High,Pensioner,11569.32,2,101,Semi-Urban,15680.27,0
C-10216,Deanna Stephens,M,35,2028.64,Low,Working,57048.05,3,772,Semi-Urban,84420.81,0
C-250,Janel Saur,M,44,2479.54,Low,Working,21291.6,2,154,Semi-Urban,34403.01,0
C-25539,Kristen Villalpando,M,40,1104.61,Low,Working,19770.5,0,356,Semi-Urban,26251.48,0
C-26936,Stephaine Ziebarth,M,38,1411.03,Low,Working,34870.3,3,140,Rural,58807.99,0
C-348,Glenda Seawood,F,42,5003.7,Low,Working,169619.76,1,133,Rural,225567.92,0
C-17958,Blossom Wyrick,F,59,2223.2,Low,Commercial associate,46994.65,3,947,Rural,67064.41,0
C-15051,Leeanne Liebel,F,59,1708.94,Low,Working,168234.2,2,85,Semi-Urban,310154.19,0
C-7386,Dinorah Neace,M,22,5096.31,Low,Commercial associate,269260.46,1,585,Semi-Urban,330332.4,0
C-23939,Janell Stackpole,M,18,2652.69,Low,Commercial associate,89277.86,2,205,Semi-Urban,152833.53,0
C-22516,Rebecka Hearne,F,20,1992.22,Low,Working,31347.89,0,48,Semi-Urban,43625.02,0
C-4233,Whitley Davies,M,36,1158.62,Low,Working,55835.6,3,805,Semi-Urban,63006.66,0
C-3485,Kendrick Strosnider,M,18,787.89,Low,Working,109970.71,2,781,Semi-Urban,189337.13,0
C-855,Zoe Nell,F,23,4885.01,Low,State servant,107783.36,3,428,Semi-Urban,153803.16,0
C-26621,Karlyn Buser,F,27,1654.97,Low,Working,36359.21,0,546,Semi-Urban,55659.42,0
C-27080,Polly Gebo,F,45,1544.96,Low,Working,77515.06,2,707,Semi-Urban,134946.43,0
C-24192,Kristeen Strobel,F,62,3348.19,Low,State servant,110039.37,1,149,Urban,165013,0
C-229,Lesia Eddleman,M,50,2527.79,Low,Working,281579.93,2,677,Semi-Urban,444769.05,0
C-23818,Cuc Romaine,M,18,2827.08,Low,Working,26279.63,2,102,Semi-Urban,46406.24,0
C-18053,Shaniqua Alameda,M,18,1611.45,Low,Commercial associate,61639.16,2,655,Rural,77957.35,0
C-13507,Dorotha Sharlow,F,42,3410.57,Low,Commercial associate,73527.38,4,251,Rural,134719.64,0
C-21986,Vannesa Tibbets,F,29,3799.12,Low,State servant,73084.52,3,606,Semi-Urban,96378.84,0
C-23771,Marietta Munsterman,M,56,3066.76,Low,Commercial associate,54624.31,2,765,Semi-Urban,69326.22,0
C-14482,Noe Vasser,M,51,1562.39,Low,Working,30590.89,0,874,Semi-Urban,34878,0
C-26620,Danica Soucy,M,64,2770.73,Low,Commercial associate,84967.42,2,802,Semi-Urban,137827.35,0
C-28955,Gricelda Trollinger,F,64,2288.16,Low,Working,90743,2,275,Semi-Urban,106588.13,0
C-7588,Hilary Bober,F,47,1259.95,Low,Working,97988.89,4,511,Semi-Urban,140467.04,0
C-12040,Melinda Howey,F,18,4187.27,Low,Working,138488.67,2,451,Semi-Urban,158988.47,0
C-19080,Humberto Heyen,F,46,3247.08,Low,Working,68460.55,0,555,Urban,94291.51,0
C-10390,Bert Immel,F,34,2117.02,Low,Working,92604.57,4,726,Semi-Urban,118765.69,0
C-11692,Janelle Scherrer,M,20,1977.1,Low,Working,123896,2,495,Semi-Urban,152451.74,0
C-19419,Nicki Curry,F,38,1051.58,Low,Commercial associate,64834.01,2,36,Semi-Urban,95820.27,0
C-7038,Zoe Mcspadden,F,43,5411.8,Low,Commercial associate,145445.91,3,361,Urban,187441.45,0
C-10816,Ardis Joshi,M,62,1998.52,Low,Working,59159.73,2,243,Semi-Urban,79503.63,0
C-26426,Dean Meints,F,36,1620.96,Low,Working,90259.04,3,940,Semi-Urban,139929.87,0
C-26569,Charlesetta Minton,M,19,2528.69,Low,Commercial associate,77103.32,2,659,Semi-Urban,134444.72,0
C-23111,Janina Treadwell,M,36,3678.63,Low,Working,204381.25,5,869,Semi-Urban,238885.89,0
C-17017,Donya Mirelez,F,65,1889.16,High,Pensioner,43279.45,1,881,Rural,61465.64,0
C-21519,Karon Barberio,M,18,7056.38,Low,Working,326397.75,2,585,Semi-Urban,506608.49,0
C-5371,Cedrick Mcclean,F,18,1309.76,Low,Working,35833.28,1,436,Semi-Urban,46987.89,0
C-12730,Trish Sholtis,F,47,2060.17,Low,Commercial associate,127055.95,2,586,Semi-Urban,151188.31,0
C-20570,Magdalena Breeden,F,40,3287.05,Low,State servant,38853.69,2,652,Urban,70820.33,0
C-17792,Solomon Lokken,M,18,2890.14,Low,State servant,125154.79,0,210,Semi-Urban,183761.78,0
C-28706,Dusty Greely,M,40,1414.81,Low,Working,113155.35,1,271,Semi-Urban,165290.52,0
C-5133,Cyrus Prigge,F,18,1681.34,Low,Working,42199.46,1,779,Semi-Urban,72395.45,0
C-23416,Alma Buesing,M,22,1229.4,Low,Working,192856.59,4,545,Semi-Urban,352801.91,0
C-22709,Vera Toledo,F,20,3046.36,Low,Commercial associate,47665.93,1,207,Semi-Urban,70197.87,0
C-5286,Lynn Ray,F,41,2112.58,Low,Working,50864.17,3,541,Semi-Urban,88457.65,0
C-9953,Clayton Stupka,M,18,3583.87,Low,Commercial associate,133789.32,2,767,Urban,218687.37,0
C-15690,Cinda Millener,M,46,4604.25,Low,State servant,117816.65,1,733,Semi-Urban,150956.81,0
C-15645,Dwain Bernett,M,40,5163.69,Low,Working,193753.4,2,147,Semi-Urban,263985.21,0
C-20920,Christiana Rotter,M,40,1224.9,Low,Working,104741.26,1,176,Semi-Urban,159373.52,0
C-28959,Ming Averitt,M,26,2190.91,Low,Working,81758.51,2,613,Semi-Urban,154508.64,0
C-26850,Elva Tibbets,M,18,1887.09,Low,Working,96362.35,2,144,Rural,135591.81,0
C-28275,Humberto Sprankle,M,26,1668.53,Low,Working,27839.42,0,476,Semi-Urban,48877.28,0
C-4261,Latoyia Tabarez,M,18,1360.63,Low,Working,63620.02,0,719,Semi-Urban,80764.24,0
C-19864,Caleb Crumpler,F,28,1819.63,Low,State servant,42116.32,4,434,Semi-Urban,48365.29,0
C-19922,Winford Fludd,M,27,3163.54,Low,Commercial associate,99854.54,3,261,Semi-Urban,117299.77,0
C-19870,Fanny Villicana,M,45,3007.18,Low,Working,167617.92,1,343,Semi-Urban,301274.96,0
C-13761,Alysa Rodriques,F,19,1614.68,Low,Working,78883.07,2,954,Semi-Urban,132746.61,0
C-25504,Lorine Hodges,F,58,4062.2,Low,State servant,245811.19,3,393,Rural,445379.26,0
C-23509,Federico Mattinson,M,50,1580.14,Low,Working,97802.97,3,472,Semi-Urban,182091.53,0
C-14219,Cyrus Fifield,M,18,3433.48,Low,Working,259153.25,3,975,Rural,431574.36,0
C-13414,Franklin Shepherd,F,20,961.3,Low,State servant,26399.16,2,982,Semi-Urban,48239.44,0
C-18354,Colby Brook,F,53,2235.94,Low,Commercial associate,185351.13,5,964,Urban,352093.63,0
C-18216,Donya Hough,M,27,1608.8,Low,Working,77768.05,0,708,Semi-Urban,89446.86,0
C-24033,Russell Weeks,F,18,1993.24,Low,Working,9779.75,2,289,Semi-Urban,15016.12,0
C-29388,Bernadine Ipock,F,21,1869.3,Low,Working,85572.79,0,990,Semi-Urban,157503.46,0
C-17384,Donald Pullum,M,53,2538.16,Low,Working,45460.87,1,868,Urban,80838.79,0
C-9665,Laureen Sabbagh,F,18,2450.91,Low,Working,40390.65,3,52,Semi-Urban,53487.2,0
C-4608,Lesli Maciel,F,38,1625.23,Low,Working,35607.59,1,954,Semi-Urban,51601.5,0
C-20827,Ha Turberville,M,64,2228.17,Low,Working,47530.59,1,268,Semi-Urban,57494.28,0
C-19070,Alyson Schimke,M,35,1853.69,Low,Working,96883.5,0,936,Semi-Urban,147640.62,0
C-16303,Bridget Right,F,33,3052.75,Low,Commercial associate,97602.18,2,590,Rural,160339.07,0
C-10225,Laureen Heatherly,M,23,2240.13,Low,State servant,90170.29,1,418,Semi-Urban,170319.26,0
C-20646,Karoline Rayburn,F,23,6773.55,Low,Commercial associate,159559.22,2,111,Urban,236097.83,0
C-20421,Ok Brehmer,M,18,3144.52,Low,Working,27409,2,556,Semi-Urban,42345.9,0
C-28901,Kelsie Ocon,F,58,1890.69,Low,Commercial associate,113548.44,4,381,Semi-Urban,191498.28,0
C-11210,Jackson Allsup,F,27,2932.71,Low,Commercial associate,38160.17,2,848,Semi-Urban,53250.7,0
C-23071,Mayra Descoteaux,M,24,972.85,Low,Working,20666.26,2,774,Rural,27975.21,0
C-15200,Sherie Eden,F,58,5482.21,Low,State servant,40638.18,4,393,Urban,46408.88,0
C-17752,Bulah Baillargeon,F,31,1669.75,Low,Commercial associate,76703.18,1,664,Rural,127597.02,0
C-13920,Sol Juergens,M,37,1942.4,Low,Commercial associate,72727.42,2,163,Semi-Urban,83058.4,0
C-9832,Kendrick Kilgore,M,63,1807.73,Low,State servant,117962.31,3,466,Semi-Urban,181324.91,0
C-29555,Magdalena Hu,F,37,3513.48,Low,State servant,78208.24,2,389,Semi-Urban,144867.54,0
C-23855,Nathalie Olivier,M,43,2361.56,Low,Working,152561.34,2,227,Semi-Urban,221050.8,0
C-24944,Barbie Goetsch,M,18,1546.17,Low,Working,42091.29,2,883,Rural,67993.43,0
C-37677,Xenia Browder,F,39,2719.74,Low,Commercial associate,20879.96,2,196,Semi-Urban,33568.47,0
C-45549,Elidia Mccluney,F,61,2077.42,Low,Working,70815.01,1,395,Semi-Urban,102502.2,0
C-49922,Loriann Ericksen,F,32,1537.82,Low,Working,93103.63,3,413,Rural,116861.82,0
C-45470,Yolonda Kranz,F,55,2497.4,Low,Working,115851.35,2,694,Semi-Urban,151126.46,0
C-49479,Gilda Kampf,M,18,4028.01,Low,State servant,95922.71,2,479,Rural,139522.21,0
C-44863,Gerard Forsman,F,18,5350.94,Low,Commercial associate,99492.44,2,344,Semi-Urban,188950.33,0
C-32492,Ned Than,F,23,4141.15,Low,State servant,168825.55,3,424,Rural,193087.29,0
C-43780,Samantha Hullinger,M,18,1671.02,Low,State servant,91850.54,2,164,Semi-Urban,144087.09,0
C-42461,Torri Jeffreys,F,49,1974.82,Low,Working,43299.94,2,157,Semi-Urban,58269.09,0
C-21133,Beatriz Lamantia,M,28,2067.66,Low,Working,39290.22,3,740,Semi-Urban,70132.42,0
C-47362,Elke Vitolo,F,27,1960.17,Low,Working,123034.46,3,270,Semi-Urban,169416.28,0
C-48528,Polly Normand,M,21,1984.32,Low,Working,90857.67,2,161,Semi-Urban,119869.89,0
C-46043,Necole Schimke,M,18,3031.97,Low,Working,33085.85,2,250,Semi-Urban,37567.92,0
C-42394,Andra Dively,F,51,4068.02,Low,Commercial associate,116442.26,3,953,Urban,192340.59,0
C-38478,Sybil Kranz,F,26,5021.9,Low,Working,136882.85,3,107,Semi-Urban,226130.72,0
C-46703,Joanna Wurtz,F,60,1318.47,Low,Working,30191.08,2,459,Semi-Urban,36230.17,0
C-47131,Aletha Miyamoto,F,46,2239.14,Low,Commercial associate,46755.67,2,609,Semi-Urban,57625.06,0
C-49557,Pam Hepler,F,64,1179.18,Low,Commercial associate,30385.6,3,600,Rural,39087.37,0
C-49077,Maryln Spagnolo,F,36,2966.6,Low,Commercial associate,152200.62,3,992,Semi-Urban,171476.96,0
C-43745,Sheron Como,F,65,3477.95,High,Pensioner,44490.31,1,210,Rural,60639.31,0
C-5161,Colby Volkmann,F,56,1891.2,Low,Commercial associate,114434.1,3,27,Semi-Urban,217245.44,0
C-40936,Marylouise Geraci,M,53,1729.9,Low,State servant,132530.58,1,675,Rural,157052.24,0
C-46684,Luisa Uhlig,F,18,1844.18,Low,Working,155880.45,3,460,Urban,229559.35,0
C-39973,Rolf Starns,M,42,2019.52,Low,State servant,31003.62,4,839,Semi-Urban,48389.84,0
C-15461,Grady Kapoor,F,23,1712.51,Low,Working,44232.77,2,274,Rural,76206.18,0
C-42983,Brinda Morrisey,F,27,3370.31,Low,Working,107191.77,3,347,Rural,153306.01,0
C-49696,Marilou Bramblett,M,57,1040.76,Low,Commercial associate,7312.83,3,235,Rural,8496.3,0
C-37667,Lesli Cottone,F,38,1274.01,Low,Working,51251.75,1,934,Semi-Urban,70784.92,0
C-44421,Kera Constance,F,26,2461.58,Low,Working,49549.37,2,743,Semi-Urban,69007.01,0
C-47247,Jacklyn Kolbe,F,52,1598,Low,Commercial associate,63966.4,4,456,Semi-Urban,97947,0
C-47292,Lore Yokota,F,53,2867.54,Low,Commercial associate,88735.89,1,741,Semi-Urban,133217.88,0
C-39439,Dusty Cleghorn,M,64,6161.03,Low,Working,41219.31,2,634,Urban,62932.33,0
