Credit Amount,Creditability,Sex & Marital Status,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
385,1,2,1,12,4,3,385,1,4,4,1,3,1,58,3,2,4,2,1,2,1
1655,1,3,4,12,4,3,1655,1,5,2,1,4,1,63,3,2,2,2,1,2,1
1053,1,4,1,15,2,3,1053,1,2,4,1,2,1,27,3,2,1,3,1,1,2
3160,1,3,4,21,2,3,3160,5,5,4,1,3,2,41,3,2,1,3,1,2,1
3079,1,3,4,36,2,0,3079,5,3,4,1,4,1,36,3,2,1,3,1,1,1
1163,1,3,4,12,4,0,1163,3,3,4,1,4,1,44,3,2,1,3,1,2,1
2679,1,2,4,24,2,1,2679,1,2,4,1,1,4,29,3,2,1,4,1,2,1
3578,1,3,4,48,4,3,3578,5,5,4,1,1,1,47,3,2,1,3,1,2,1
10875,1,3,4,36,3,0,10875,1,5,2,1,2,3,45,3,2,2,3,2,2,1
1344,1,3,1,12,3,0,1344,1,3,4,1,2,1,43,3,2,2,2,2,1,1
1237,1,2,4,6,4,3,1237,2,3,1,1,1,2,27,3,2,2,3,1,1,1
3077,1,3,4,12,2,3,3077,1,3,2,1,4,3,52,3,2,1,3,1,2,1
2284,1,3,4,24,2,3,2284,1,4,4,1,2,3,28,3,2,1,3,1,2,1
1567,1,2,2,12,2,3,1567,1,3,1,1,1,3,22,3,2,1,3,1,2,1
2032,1,3,4,24,3,0,2032,1,5,4,1,4,4,60,3,3,2,3,1,2,1
2745,1,3,2,21,4,2,2745,4,4,3,1,2,3,32,3,2,2,3,1,2,1
1867,1,3,4,30,2,3,1867,5,5,4,1,4,3,58,3,2,1,3,1,2,1
2299,1,3,4,36,2,3,2299,3,5,4,1,4,3,39,3,2,1,3,1,1,1
929,1,3,4,24,2,2,929,5,4,4,1,2,3,31,2,2,1,3,1,2,1
3399,1,3,3,12,2,3,3399,5,5,2,1,3,3,37,3,2,1,4,1,1,1
2030,1,3,2,9,2,2,2030,5,4,2,1,1,3,24,3,2,1,3,1,2,1
3275,1,3,4,21,4,1,3275,1,5,1,1,4,3,36,3,2,1,4,1,2,1
1940,1,3,4,24,4,0,1940,4,5,4,1,4,1,60,3,2,1,3,1,2,1
1602,1,4,1,21,4,0,1602,1,5,4,1,3,3,30,3,2,2,3,1,2,1
1979,1,3,4,15,2,3,1979,5,5,4,1,2,3,35,3,2,1,3,1,1,1
2022,1,2,4,24,4,0,2022,1,3,4,1,4,3,37,3,2,1,3,1,2,1
3342,1,3,4,36,4,3,3342,5,5,4,1,2,3,51,3,2,1,3,1,2,1
5866,1,3,2,18,2,0,5866,2,3,2,1,2,3,30,3,2,2,3,1,2,1
2360,1,3,3,15,4,1,2360,3,3,2,1,2,3,36,3,2,1,3,1,2,1
1520,1,3,4,15,4,2,1520,5,5,4,1,4,2,63,3,2,1,3,1,1,1
3651,1,3,1,12,2,0,3651,4,3,1,1,3,2,31,3,2,1,3,2,1,1
2346,1,3,4,24,4,1,2346,1,4,4,1,3,3,35,3,2,2,3,1,2,1
4454,1,2,4,36,3,3,4454,1,3,4,1,4,1,34,3,2,2,3,1,1,1
666,1,2,1,6,4,0,666,4,4,3,1,4,1,39,3,2,2,2,1,2,1
1965,1,2,2,24,3,0,1965,5,3,4,1,4,3,42,3,1,2,3,1,2,1
1995,1,3,2,12,4,0,1995,2,2,4,1,1,3,27,3,2,1,3,1,1,1
2991,1,2,2,30,2,3,2991,5,5,2,1,4,3,25,3,2,1,3,1,1,1
4221,1,2,2,30,0,9,4221,1,3,2,1,1,3,28,3,2,2,3,1,1,1
1364,1,3,1,9,2,3,1364,1,4,3,1,4,1,59,3,2,1,3,1,1,1
6361,1,3,2,18,4,2,6361,1,5,2,1,1,4,41,3,2,1,3,1,2,1
4526,1,3,4,27,4,2,4526,4,2,4,1,2,1,32,2,2,2,2,2,2,1
3573,1,2,2,12,4,3,3573,1,3,1,1,1,1,23,3,2,1,2,1,1,1
4455,0,1,2,36,3,9,4455,1,3,2,1,2,1,30,2,2,2,4,1,2,1
2136,1,3,1,9,2,2,2136,1,3,3,1,2,1,25,3,2,1,3,1,1,1
5954,1,2,2,42,4,9,5954,1,4,2,1,1,1,41,1,2,2,2,1,1,1
3777,1,3,4,24,4,2,3777,4,3,4,1,4,1,40,3,2,1,3,1,2,1
806,1,2,1,15,2,9,806,1,3,4,1,4,2,22,3,2,1,2,1,1,1
4712,1,3,2,24,3,9,4712,5,3,4,1,2,2,34,1,2,2,4,1,2,1
7432,1,2,2,36,3,0,7432,1,3,2,1,2,2,54,3,1,1,3,1,1,1
1851,1,4,4,24,4,3,1851,1,4,4,3,2,3,33,3,2,2,3,1,2,1
1393,1,3,4,24,2,0,1393,1,3,2,3,2,1,31,3,2,1,3,1,2,1
1412,1,2,4,12,4,9,1412,1,3,4,3,2,1,29,3,2,2,4,1,2,1
1473,1,4,4,18,2,3,1473,1,2,3,1,4,1,39,3,2,1,3,1,2,1
1533,1,2,4,24,2,3,1533,1,2,4,1,3,3,38,2,2,1,3,1,2,1
2012,1,2,4,12,4,6,2012,5,4,4,1,2,3,61,3,2,1,3,1,1,1
3959,0,2,1,15,2,0,3959,1,3,3,1,2,2,29,3,2,1,3,1,2,1
428,1,2,1,6,2,2,428,1,5,2,1,1,2,49,1,2,1,3,1,2,1
2366,1,1,2,12,4,0,2366,3,4,3,1,3,3,36,3,2,1,4,1,2,1
763,1,2,4,12,2,2,763,1,3,4,1,1,1,26,3,2,1,3,1,2,1
3976,1,3,2,21,2,2,3976,5,4,2,1,3,3,35,3,2,1,3,1,2,1
6260,1,3,2,18,2,0,6260,1,4,3,1,3,1,28,3,1,1,2,1,1,1
1919,1,3,2,9,4,2,1919,1,4,4,1,3,3,35,3,1,1,3,1,2,1
2603,1,2,4,24,2,1,2603,4,3,2,1,4,3,28,3,1,1,3,1,2,1
936,1,3,4,9,4,6,936,3,5,4,1,2,3,52,3,2,2,3,1,2,1
3062,1,3,4,24,2,2,3062,3,5,4,1,3,4,32,3,1,1,3,1,2,1
4795,1,2,2,36,2,3,4795,1,2,4,1,1,4,30,3,2,1,4,1,2,1
5842,1,3,4,36,4,1,5842,1,5,2,1,2,2,35,3,2,2,3,2,2,1
2063,1,4,2,6,2,3,2063,1,2,4,1,3,3,30,3,1,1,4,1,2,1
1459,1,2,4,15,4,3,1459,1,3,4,1,2,3,43,3,2,1,2,1,1,1
1213,1,3,4,15,2,3,1213,3,5,4,1,3,2,47,2,2,1,3,1,2,1
5103,1,4,4,24,4,3,5103,1,2,3,1,3,4,47,3,3,3,3,1,2,1
874,1,2,4,15,2,4,874,5,2,4,1,1,1,24,3,2,1,3,1,1,1
2978,1,3,4,6,2,2,2978,3,3,1,1,2,3,32,3,2,1,3,1,2,1
1820,1,4,4,18,2,0,1820,1,3,2,1,2,2,30,3,2,1,4,1,2,1
2872,1,3,4,24,4,3,2872,2,5,3,1,4,1,36,3,2,1,3,2,2,1
1925,1,3,3,24,2,2,1925,1,3,2,1,2,1,26,3,2,1,3,1,1,1
2515,1,3,4,18,2,2,2515,1,3,3,1,4,1,43,3,2,1,3,1,2,1
2116,1,3,3,6,2,2,2116,1,3,2,1,2,1,41,3,2,1,3,1,2,1
1453,1,2,4,18,2,3,1453,1,2,3,1,1,1,26,3,2,1,3,1,1,1
1364,1,2,4,10,2,0,1364,1,3,2,1,4,3,64,3,2,1,3,1,2,1
1543,1,1,4,6,2,2,1543,4,3,4,1,2,1,33,3,2,1,3,1,1,1
1318,1,3,2,12,2,0,1318,4,5,4,1,4,1,54,3,2,1,3,1,2,1
2325,1,3,1,24,1,0,2325,2,4,2,1,3,3,32,1,2,1,3,1,1,1
932,1,2,2,6,4,8,932,5,4,1,1,3,2,39,3,2,2,2,1,1,1
3148,1,3,3,24,4,3,3148,5,3,3,1,2,3,31,3,2,2,3,1,2,1
3835,1,2,4,36,2,3,3835,5,5,2,1,4,1,45,3,2,1,2,1,2,1
3832,1,3,4,9,2,6,3832,5,5,1,1,4,1,64,3,2,1,2,1,1,1
5084,1,2,2,24,2,3,5084,5,5,2,1,4,3,42,3,2,1,3,1,2,1
2406,1,3,4,9,4,2,2406,1,1,2,1,3,3,31,3,2,1,4,1,1,1
2394,1,2,4,36,2,3,2394,5,3,4,1,4,3,25,3,2,1,3,1,1,1
2476,1,3,4,21,2,1,2476,5,5,4,1,4,1,46,3,2,1,4,1,2,1
2964,1,3,1,24,2,1,2964,5,5,4,1,4,4,49,1,3,1,3,2,2,1
1262,1,1,1,12,2,2,1262,5,5,2,1,4,2,49,3,2,1,2,1,2,1
1542,1,3,4,12,2,9,1542,1,4,2,1,4,3,36,3,2,1,3,1,2,1
1743,1,3,2,24,4,3,1743,1,5,4,1,2,2,48,3,2,2,2,1,1,1
409,1,2,3,12,1,3,409,4,3,3,1,3,1,42,3,1,2,3,1,1,1
2171,1,2,4,12,2,3,2171,1,2,2,1,2,3,29,1,2,1,3,1,1,1
8858,1,3,4,48,4,1,8858,5,4,2,1,1,4,35,3,3,2,3,1,2,1
3512,1,3,2,24,2,0,3512,2,4,2,1,3,3,38,1,2,2,3,1,2,1
1158,1,1,2,12,2,3,1158,3,3,3,1,1,3,26,3,2,1,3,1,2,1
2684,1,3,4,24,4,3,2684,1,3,4,1,2,1,35,3,2,2,2,1,1,1
1498,1,2,1,12,2,3,1498,1,3,4,1,1,3,23,1,2,1,3,1,1,1
5954,1,3,4,30,4,3,5954,1,4,3,2,2,3,38,3,2,1,3,1,1,1
6416,0,2,2,48,1,9,6416,1,5,4,1,3,4,59,3,1,1,3,1,1,1
3617,1,3,2,12,4,2,3617,1,5,1,1,4,3,28,3,1,3,3,1,2,1
1291,1,2,4,12,4,3,1291,1,3,4,1,2,2,35,3,2,2,3,1,1,1
1275,1,1,3,24,4,9,1275,4,3,2,1,4,1,36,3,2,2,3,1,2,1
3972,1,2,4,24,2,2,3972,1,4,2,1,4,2,25,3,1,1,3,1,2,1
3343,1,3,4,15,4,2,3343,1,3,4,1,2,4,28,3,3,1,3,1,2,1
392,1,2,3,15,2,6,392,1,2,4,1,4,2,23,3,1,1,3,1,2,1
2134,1,3,4,9,4,0,2134,1,3,4,1,4,3,48,3,2,3,3,1,2,1
5771,1,2,4,30,4,3,5771,1,4,4,1,2,3,25,3,2,2,3,1,1,1
4526,1,3,4,24,4,9,4526,1,3,3,1,2,1,74,3,2,1,4,1,2,1
2788,1,2,4,15,4,2,2788,1,4,2,2,3,3,24,1,2,2,3,1,1,1
1382,1,2,4,6,4,3,1382,1,3,1,1,1,3,28,3,2,2,3,1,2,1
5848,1,3,3,36,2,3,5848,1,3,4,1,1,3,24,3,2,1,3,1,1,1
1228,0,2,1,12,2,0,1228,1,3,4,1,2,1,24,3,2,1,2,1,1,1
1297,1,4,3,12,2,3,1297,1,3,3,1,4,1,23,3,1,1,3,1,1,1
1552,1,3,4,24,2,3,1552,1,4,3,1,1,3,32,1,2,1,3,2,1,1
1963,1,3,4,12,2,3,1963,1,4,4,1,2,3,31,3,1,2,4,2,2,1
3235,1,1,4,24,2,3,3235,3,5,3,1,2,3,36,3,2,1,4,1,2,1
4139,1,3,4,24,4,9,4139,2,3,3,1,3,2,27,3,2,2,2,1,2,1
1804,1,3,2,12,4,1,1804,2,2,3,1,4,2,44,3,2,1,3,1,1,1
1950,1,3,4,18,2,9,1950,1,4,4,1,1,3,34,2,2,2,3,1,2,1
12749,1,3,4,48,3,3,12749,3,4,4,1,1,3,37,3,2,1,4,1,2,1
1236,1,2,4,9,2,4,1236,1,2,1,1,4,1,23,3,1,1,3,1,2,1
1055,1,2,4,18,4,0,1055,1,2,4,1,1,2,30,3,2,2,3,1,1,1
8072,1,3,1,30,0,9,8072,5,2,2,1,3,3,25,1,2,3,3,1,1,1
2831,1,2,4,30,4,3,2831,1,3,4,1,2,3,33,3,2,1,3,1,2,1
1449,1,2,4,9,2,9,1449,1,4,3,1,2,3,27,3,2,2,3,1,1,1
5742,1,3,4,36,2,9,5742,2,4,2,1,2,3,31,3,2,2,3,1,2,1
2390,1,3,4,12,2,0,2390,5,5,4,1,3,3,50,3,2,1,3,1,2,1
3430,1,3,4,24,2,3,3430,3,5,3,1,2,3,31,3,2,1,3,2,2,1
2273,1,3,2,36,2,6,2273,1,4,3,1,1,3,32,3,2,2,3,2,1,1
2923,1,2,3,21,2,0,2923,2,3,1,1,1,3,28,1,2,1,4,1,2,1
1901,1,3,4,24,2,3,1901,2,3,4,1,4,3,29,3,1,1,4,1,2,1
3711,1,4,2,36,2,6,3711,5,3,2,1,2,3,27,3,2,1,3,1,1,1
8487,1,2,2,48,2,0,8487,5,4,1,1,2,3,24,3,2,1,3,1,1,1
2255,1,3,4,24,2,0,2255,5,2,4,1,1,2,54,3,2,1,3,1,1,1
1262,1,3,4,12,2,3,1262,1,3,3,1,2,3,25,3,2,1,3,1,1,1
7253,1,3,4,33,4,1,7253,1,4,3,1,2,3,35,3,2,2,4,1,2,1
6761,1,3,4,6,4,0,6761,1,4,1,1,3,4,45,3,2,2,4,2,2,1
1817,1,2,4,18,4,2,1817,1,3,4,1,2,4,28,3,2,2,3,1,1,1
2141,1,3,4,12,2,3,2141,2,4,3,1,1,4,35,3,2,1,3,1,1,1
3609,1,2,4,48,1,9,3609,1,3,1,1,1,1,27,2,2,1,3,1,1,1
2333,1,3,4,30,2,3,2333,3,5,4,1,2,3,30,1,2,1,4,1,1,1
7824,1,3,4,28,1,1,7824,5,2,3,3,4,1,40,1,1,2,3,2,2,1
1445,1,3,3,18,1,3,1445,5,4,4,1,4,3,49,1,2,1,2,1,1,1
7721,1,2,1,24,2,2,7721,5,2,1,1,2,2,30,3,2,1,3,1,2,2
3763,1,3,1,21,2,0,3763,5,4,2,2,2,1,24,3,2,1,2,1,1,2
4439,1,3,2,18,2,9,4439,1,5,1,2,1,1,33,1,2,1,4,1,2,1
1107,1,3,1,12,2,3,1107,1,3,2,1,2,1,20,3,1,1,4,2,2,1
1444,1,3,2,15,2,3,1444,5,2,4,1,1,2,23,3,2,1,3,1,1,1
12169,1,3,2,48,1,0,12169,5,1,4,2,4,4,36,3,3,1,4,1,2,1
2753,1,3,4,9,2,3,2753,2,5,3,2,4,3,35,3,2,1,3,1,2,1
1494,1,3,3,4,2,0,1494,5,2,1,1,2,1,29,3,2,1,2,2,1,2
2828,1,3,1,24,1,2,2828,3,3,4,1,4,1,22,2,2,1,3,1,2,1
2483,1,3,1,24,1,2,2483,3,3,4,1,4,1,22,2,2,1,3,1,2,1
1299,1,3,3,6,4,0,1299,1,3,1,1,1,1,74,3,2,3,1,2,1,2
1549,1,3,2,9,2,0,1549,5,2,4,1,2,1,35,3,2,1,1,1,1,1
3949,1,3,3,10,2,0,3949,1,2,1,3,1,2,37,3,2,1,2,2,1,1
2901,1,2,4,10,2,1,2901,5,2,1,1,4,1,31,3,1,1,3,1,1,1
709,1,4,3,6,2,0,709,4,2,2,1,2,1,27,3,2,1,1,1,1,2
10722,1,2,1,47,2,0,10722,1,2,1,1,1,1,35,3,2,1,2,1,2,1
1287,1,3,4,10,2,0,1287,5,5,4,2,2,2,45,3,2,1,2,1,1,2
1940,1,3,1,18,1,3,1940,1,2,3,2,4,4,36,1,3,1,4,1,2,1
3656,1,3,3,30,4,3,3656,5,5,4,1,4,2,49,2,2,2,2,1,1,1
4679,1,3,4,24,3,1,4679,1,4,3,1,3,3,35,3,2,2,2,1,2,1
8613,1,3,4,27,3,1,8613,4,3,2,1,2,3,27,3,2,2,3,1,1,1
2659,1,3,1,18,2,2,2659,4,3,4,1,2,3,28,3,2,1,3,1,1,1
1516,1,2,4,24,4,3,1516,4,3,4,1,1,1,43,3,2,2,2,1,1,1
4380,1,3,1,18,2,0,4380,2,3,3,1,4,3,35,3,2,1,2,2,2,1
802,1,3,4,14,3,0,802,1,3,4,1,2,3,27,3,2,2,2,1,1,1
1572,1,2,4,21,2,9,1572,4,5,4,1,4,1,36,1,2,1,2,1,1,1
3566,1,3,2,48,1,9,3566,2,4,4,1,2,3,30,3,2,1,3,1,1,1
1278,1,3,4,24,2,3,1278,1,5,4,1,1,1,36,3,2,1,4,1,2,1
426,1,4,4,6,0,3,426,1,5,4,1,4,3,39,3,2,1,2,1,1,1
8588,1,3,4,39,2,1,8588,2,5,4,1,2,3,45,3,2,1,4,1,2,1
3857,1,1,1,30,2,1,3857,1,3,4,1,4,2,40,3,2,1,4,1,2,1
685,0,4,2,12,2,0,685,1,4,2,1,3,3,25,1,2,1,2,1,1,1
1603,1,2,1,24,2,3,1603,1,5,4,1,4,3,55,3,2,1,3,1,1,1
2241,1,3,4,21,2,2,2241,1,5,4,1,2,1,50,3,2,2,3,1,1,1
2384,1,3,1,24,2,3,2384,1,5,4,1,4,1,64,1,1,1,2,1,1,1
601,1,2,4,4,2,2,601,1,2,1,1,3,1,23,3,1,1,2,2,1,1
2569,1,3,4,39,2,1,2569,3,3,4,1,4,3,24,3,2,1,3,1,1,1
1316,1,4,4,15,4,3,1316,3,3,2,1,2,2,47,3,2,2,2,1,1,1
10366,1,3,4,60,2,0,10366,1,5,2,1,4,2,42,3,2,1,4,1,2,1
1568,1,2,4,18,2,9,1568,2,3,3,1,4,2,24,3,1,1,2,1,1,1
629,1,3,4,18,4,3,629,3,5,4,1,3,2,32,1,2,2,4,1,2,1
1750,1,3,4,6,1,3,1750,3,5,2,1,4,2,45,1,2,1,2,2,1,1
3488,1,2,4,24,2,1,3488,2,4,3,1,4,3,23,3,2,1,3,1,1,1
1800,1,3,4,18,4,3,1800,1,3,4,1,2,3,24,3,2,2,3,1,1,1
4151,1,3,4,24,3,2,4151,2,3,2,1,3,2,35,3,2,2,3,1,1,1
2631,1,2,2,15,2,5,2631,2,3,3,1,2,1,25,3,2,1,2,1,1,1
5248,1,3,4,21,2,1,5248,5,3,1,1,3,3,26,3,2,1,3,1,1,1
2899,1,3,2,18,3,0,2899,5,5,4,1,4,3,43,3,2,1,3,2,1,1
6204,1,3,2,18,3,5,6204,1,3,2,1,4,1,44,3,2,1,2,2,2,1
804,1,3,4,12,2,3,804,1,5,4,1,4,3,38,3,2,1,3,1,1,1
3595,1,3,4,36,2,3,3595,1,5,4,1,2,3,28,3,2,1,3,1,1,1
5711,1,3,4,36,4,1,5711,4,5,4,1,2,3,38,3,2,2,4,1,2,1
2687,1,3,3,15,2,9,2687,1,4,2,1,4,2,26,3,1,1,3,1,2,1
3643,1,2,1,15,3,2,3643,1,5,1,1,4,2,27,3,2,2,2,1,1,1
2146,1,2,4,10,4,2,2146,1,2,1,1,3,1,23,3,1,2,3,1,1,1
2315,1,3,1,10,2,3,2315,1,5,3,1,4,1,52,3,2,1,2,1,1,1
3448,1,3,4,5,2,9,3448,1,4,1,1,4,1,74,3,2,1,2,1,1,1
2708,1,3,4,15,2,2,2708,1,2,2,1,3,2,27,1,2,2,2,1,1,1
1393,1,2,4,11,4,0,1393,1,2,4,1,4,3,35,3,2,2,4,1,1,1
1275,1,2,3,10,2,2,1275,1,2,4,1,2,2,23,3,2,1,3,1,1,1
1313,1,3,4,9,2,2,1313,1,5,1,1,4,3,20,3,2,1,3,1,1,1
1493,1,2,4,12,2,3,1493,1,2,4,1,3,3,34,3,2,1,3,2,1,1
2675,1,3,4,22,2,3,2675,3,5,3,1,4,3,40,3,2,1,3,1,1,1
2118,1,3,2,9,2,3,2118,1,3,2,1,2,1,37,3,2,1,2,2,1,1
909,1,3,4,36,2,0,909,3,5,4,1,4,2,36,3,2,1,3,1,1,1
1258,1,2,4,12,4,2,1258,1,2,2,1,4,2,22,3,1,2,2,1,1,1
1569,1,3,4,15,1,3,1569,2,5,4,1,4,3,34,1,2,1,2,2,1,1
1236,1,3,4,6,2,1,1236,3,3,2,1,4,2,50,3,1,1,3,1,1,1
7678,1,2,4,36,3,2,7678,3,4,2,1,4,3,40,3,2,2,3,1,2,1
660,1,4,4,6,2,5,660,3,4,2,1,4,1,23,3,1,1,2,1,1,1
2835,1,3,4,24,2,2,2835,3,5,3,1,4,2,53,3,2,1,3,1,1,1
2670,1,3,4,24,2,1,2670,1,5,4,1,4,3,35,3,2,1,4,1,2,1
3447,1,2,4,12,1,8,3447,3,3,4,1,3,1,35,3,2,1,2,2,1,1
3568,1,2,4,15,2,3,3568,1,5,4,1,2,3,54,1,1,1,4,1,2,1
3652,1,3,2,21,4,9,3652,1,4,2,1,3,2,27,3,2,2,3,1,1,1
3660,1,2,1,24,2,3,3660,1,3,2,1,4,3,28,3,2,1,3,1,1,1
1126,1,1,3,9,2,3,1126,2,5,2,1,4,1,49,3,2,1,3,1,1,1
683,1,2,3,6,3,3,683,1,2,2,1,1,2,29,1,2,1,3,1,1,1
2251,1,2,3,12,2,2,2251,1,3,1,1,2,3,46,3,2,1,2,1,1,1
4675,1,2,4,12,2,1,4675,5,2,1,1,4,3,20,3,1,1,3,1,1,1
2353,1,1,2,21,3,0,2353,1,3,1,1,4,2,47,3,2,2,3,1,1,1
3357,1,2,1,21,2,3,3357,4,2,4,1,2,3,29,1,2,1,3,1,1,1
672,1,2,4,6,2,0,672,1,1,1,1,4,1,54,3,2,1,1,1,2,1
338,1,3,1,6,4,3,338,3,5,4,1,4,3,52,3,2,2,3,1,1,1
2697,1,3,4,9,2,3,2697,1,3,1,1,2,1,32,3,2,1,3,2,1,1
2507,1,3,4,9,2,0,2507,3,5,2,1,4,4,51,3,3,1,2,1,1,1
1478,1,4,4,15,3,3,1478,1,3,4,1,3,1,33,1,2,2,3,1,1,1
3565,1,3,4,12,4,6,3565,5,2,2,1,1,2,37,3,2,2,2,2,1,1
2221,1,2,4,15,2,2,2221,3,3,2,1,4,3,20,3,1,1,3,1,1,1
1898,1,3,4,6,4,3,1898,5,3,1,1,2,1,34,3,2,2,2,2,1,1
1449,1,1,2,6,3,9,1449,2,5,1,1,2,3,31,1,2,2,3,2,1,1
960,1,2,4,15,3,2,960,4,4,3,1,2,2,30,3,2,2,3,1,1,1
8133,1,2,4,36,2,1,8133,1,3,1,1,2,2,30,1,2,1,3,1,1,1
2301,1,2,4,9,2,2,2301,2,2,2,1,4,2,22,3,1,1,3,1,1,1
1743,1,3,4,6,3,9,1743,2,3,1,1,2,1,34,3,2,2,2,1,1,1
